C00001,15377
C00002,15422
C00003,15846
C00004,16908
C00005,16474
C00006,18009
C00007,15379
C00007,25805
C00008,16761
C00009,18367
C00009,26078
C00010,15346
C00011,16526
C00012,16670
C00013,18361
C00013,29888
C00014,16134
C00015,17659
C00016,16238
C00017,16541
C00018,18405
C00019,15414
C00019,67040
C00020,16027
C00021,16680
C00022,15361
C00022,32816
C00023,18248
C00024,15351
C00025,16015
C00026,16810
C00026,30915
C00027,16240
C00028,15339
C00029,18066
C00029,46229
C00030,17499
C00031,4167
C00032,17627
C00032,26355
C00032,30413
C00033,15366
C00033,30089
C00034,18291
C00035,17552
C00036,16452
C00036,30744
C00037,15428
C00038,27363
C00038,29105
C00039,16991
C00040,17984
C00041,16977
C00042,15741
C00043,16264
C00044,15996
C00045,33704
C00047,18019
C00048,16891
C00049,17053
C00050,33521
C00051,16856
C00052,18307
C00052,67119
C00053,17980
C00054,17985
C00055,17361
C00058,15740
C00058,30751
C00059,16189
C00059,26836
C00060,35757
C00061,17621
C00062,16467
C00063,17677
C00064,18050
C00065,17115
C00066,17843
C00067,16842
C00068,9532
C00069,30879
C00070,28694
C00071,17478
C00072,29073
C00072,38290
C00073,16643
C00074,18021
C00074,44897
C00075,15713
C00076,22984
C00076,29108
C00077,15729
C00078,16828
C00079,17295
C00080,15378
C00080,24636
C00081,16039
C00082,17895
C00083,15531
C00084,15343
C00085,15946
C00085,61553
C00086,16199
C00087,17909
C00087,26833
C00088,16301
C00088,25567
C00089,17992
C00090,18135
C00091,15380
C00092,4170
C00093,15978
C00094,48854
C00095,15824
C00095,37721
C00096,15820
C00097,17561
C00099,16958
C00100,15539
C00101,15635
C00101,20506
C00102,945
C00103,29042
C00104,17808
C00105,16695
C00106,17568
C00107,46761
C00108,16567
C00108,30754
C00109,16763
C00109,30831
C00110,16214
C00111,16108
C00112,17239
C00113,18315
C00114,15354
C00116,17754
C00117,17797
C00117,52742
C00118,29052
C00119,17111
C00120,15956
C00121,47013
C00122,18012
C00122,29806
C00123,15603
C00124,4139
C00125,15991
C00126,16928
C00127,17858
C00128,16556
